STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Reporting country,FLW,Flow,PAR,Partner country,CAT,End-use,IND,Industry,VAL,Variable,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,DEU,Germany,EXPO,Exports,KOR,Korea,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,10445.759,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,GRC,Greece,IMPO,Imports,SVK,Slovak Republic,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,7624.852,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,FIN,Finland,EXPO,Exports,LUX,Luxembourg,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,19769.701,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,ITA,Italy,EXPO,Exports,AUS,Australia,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,4339747.045,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,JPN,Japan,IMPO,Imports,DEU,Germany,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,48934.857,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,DEU,Germany,EXPO,Exports,ESP,Spain,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,46865846.36,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,DEU,Germany,IMPO,Imports,FRA,France,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,150724.066,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,JPN,Japan,IMPO,Imports,IRL,Ireland,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,4893302.58,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,FIN,Finland,EXPO,Exports,FRA,France,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,1930236.148,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,SVK,Slovak Republic,IMPO,Imports,SWE,Sweden,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,452219.737,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,USA,United States,EXPO,Exports,DEU,Germany,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,690873.814,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,POL,Poland,IMPO,Imports,IRL,Ireland,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,1547794.818,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,PRT,Portugal,EXPO,Exports,DNK,Denmark,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,396903.382,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,DEU,Germany,EXPO,Exports,POL,Poland,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,147970.339,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,DNK,Denmark,IMPO,Imports,SWE,Sweden,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,10231320.493,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,ESP,Spain,EXPO,Exports,CZE,Czechia,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,3078.002,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,BEL,Belgium,EXPO,Exports,ESP,Spain,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,7687897.147,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,POL,Poland,IMPO,Imports,DEU,Germany,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,130854.046,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,POL,Poland,IMPO,Imports,SVK,Slovak Republic,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,138244.593,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,NLD,Netherlands,EXPO,Exports,PRT,Portugal,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,3016385.142,,A,,USD,US Dollar,3,Thousands,,
